Sample ID,Taxon,Kingdom/SuperKingdom,Phylum,Class,Order,Family,Genus,Species,Relative Abundance,Absolute Abundance
MBSMPL0020-16-1,283,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,null,0.000644,12
MBSMPL0020-16-1,286,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,null,0.015449,288
MBSMPL0020-16-1,469,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,null,0.061635,1149
MBSMPL0020-16-1,561,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,null,0.00295,55
MBSMPL0020-16-1,590,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,null,0.002038,38
MBSMPL0020-16-1,836,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,null,0.002843,53
MBSMPL0020-16-1,1224,Bacteria,Proteobacteria,null,null,null,null,null,0.012499,233
MBSMPL0020-16-1,1243,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,null,0.026768,499
MBSMPL0020-16-1,1268,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,null,null,0.027304,509
MBSMPL0020-16-1,1269,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,null,0.004077,76
MBSMPL0020-16-1,1279,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,null,0.000429,8
MBSMPL0020-16-1,1301,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,null,0.032883,613
MBSMPL0020-16-1,1386,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,null,0.000429,8
MBSMPL0020-16-1,1578,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,null,0.023978,447
MBSMPL0020-16-1,1637,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,null,0.000429,8
MBSMPL0020-16-1,1763,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,null,0.091567,1707
MBSMPL0020-16-1,12916,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,null,0.016897,315
MBSMPL0020-16-1,13075,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,null,0.01046,195
MBSMPL0020-16-1,28211,Bacteria,Proteobacteria,Alphaproteobacteria,null,null,null,null,0.019687,367
MBSMPL0020-16-1,29465,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,null,0.000966,18
MBSMPL0020-16-1,31989,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,null,null,0.017326,323
MBSMPL0020-16-1,32067,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,null,0.024729,461
MBSMPL0020-16-1,32207,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,null,0.029611,552
MBSMPL0020-16-1,33682,Eukaryota,Discoba,Discicristata,Euglenozoa,null,null,null,0.002575,48
MBSMPL0020-16-1,33882,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,null,0.002199,41
MBSMPL0020-16-1,41297,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,null,null,0.022101,412
MBSMPL0020-16-1,44249,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,null,0.020277,378
MBSMPL0020-16-1,47715,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus rhamnosus,0.000644,12
MBSMPL0020-16-1,80864,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,null,null,0.000483,9
MBSMPL0020-16-1,85006,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,null,null,null,0.000161,3
MBSMPL0020-16-1,114248,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,null,0.034224,638
MBSMPL0020-16-1,149698,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,null,0.02033,379
MBSMPL0020-16-1,162291,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,null,0.022476,419
MBSMPL0020-16-1,212791,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,null,0.040661,758
MBSMPL0020-16-1,295418,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,null,0.021832,407
MBSMPL0020-16-1,317661,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,null,0.000429,8
MBSMPL0020-16-1,361177,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,null,0.022852,426
MBSMPL0020-16-1,572511,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,null,0.014215,265
MBSMPL0020-16-1,1549619,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,null,0.016093,300
MBSMPL0020-16-1,1649484,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola,null,0.003862,72
MBSMPL0020-16-1,1649487,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,null,0.001234,23
MBSMPL0020-16-1,1912216,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,null,0.037603,701
MBSMPL0020-16-1,null,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,null,null,0.027089,505
MBSMPL0020-16-1,null,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,null,null,0.015449,288
MBSMPL0020-16-1,null,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,null,null,null,0.002843,53
MBSMPL0020-16-1,null,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,Chroococcidiopsis SAG 2023,null,0.021564,402
MBSMPL0020-16-1,null,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,null,null,0.223206,4161
MBSMPL0020-16-10,null,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,null,null,0.218561,3688
MBSMPL0020-16-10,null,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,null,0.01203,203
MBSMPL0020-16-10,null,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,MN 122.2a,null,0.000652,11
MBSMPL0020-16-10,null,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,null,null,null,0.037573,634
MBSMPL0020-16-10,null,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,W5,null,0.002963,50
MBSMPL0020-16-10,1912216,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,null,0.062819,1060
MBSMPL0020-16-10,1649484,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola,null,0.182411,3078
MBSMPL0020-16-10,501783,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,null,0.007882,133
MBSMPL0020-16-10,402649,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,null,0.006341,107
MBSMPL0020-16-10,180541,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,null,0.028031,473
MBSMPL0020-16-10,114248,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,null,0.027439,463
MBSMPL0020-16-10,80840,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,null,null,null,0.03295,556
MBSMPL0020-16-10,59732,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,null,0.000593,10
MBSMPL0020-16-10,46913,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,null,0.004267,72
MBSMPL0020-16-10,44249,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,null,0.000533,9
MBSMPL0020-16-10,41297,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,null,null,0.002845,48
MBSMPL0020-16-10,41275,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,null,0.015527,262
MBSMPL0020-16-10,28211,Bacteria,Proteobacteria,Alphaproteobacteria,null,null,null,null,0.022283,376
MBSMPL0020-16-10,28056,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,null,null,0.001363,23
MBSMPL0020-16-10,1763,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,null,0.002371,40
MBSMPL0020-16-10,1716,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,null,0.006163,104
MBSMPL0020-16-10,1386,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,null,0.000533,9
MBSMPL0020-16-10,1378,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,null,0.007882,133
MBSMPL0020-16-10,1301,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,null,0.069337,1170
MBSMPL0020-16-10,1279,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,null,0.010015,169
MBSMPL0020-16-10,1224,Bacteria,Proteobacteria,null,null,null,null,null,0.050433,851
MBSMPL0020-16-10,766,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,null,null,null,0.003674,62
MBSMPL0020-16-10,724,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,null,0.000533,9
MBSMPL0020-16-10,590,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,null,0.000533,9
MBSMPL0020-16-10,283,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,null,0.003971,67
MBSMPL0020-16-10,286,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,null,0.084627,1428
MBSMPL0020-16-10,469,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,null,0.072419,1222
MBSMPL0020-16-10,561,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,null,0.014756,249
MBSMPL0020-16-10,570,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,null,0.005689,96
MBSMPL0020-16-100,null,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,null,null,0.341188,3533
MBSMPL0020-16-100,286,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,null,0.031482,326
MBSMPL0020-16-100,1912216,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,null,0.033607,348
MBSMPL0020-16-100,1903411,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,null,null,0.004442,46
MBSMPL0020-16-100,1849828,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paeniclostridium,null,0.035345,366
MBSMPL0020-16-100,1847725,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,null,0.028006,290
MBSMPL0020-16-100,1649298,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Siccibacter,null,0.022308,231
MBSMPL0020-16-100,1502725,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Effusibacillus,null,0.073781,764
MBSMPL0020-16-100,114248,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,null,0.032352,335
MBSMPL0020-16-100,91347,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,null,null,null,0.004056,42
MBSMPL0020-16-100,84406,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,null,0.000483,5
MBSMPL0020-16-100,72763,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,null,0.013906,144
MBSMPL0020-16-100,70774,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Hydrogenophilus,null,0.026944,279
MBSMPL0020-16-100,57494,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,null,0.001738,18
MBSMPL0020-16-100,28211,Bacteria,Proteobacteria,Alphaproteobacteria,null,null,null,null,0.084887,879
MBSMPL0020-16-100,12916,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,null,0.003477,36
MBSMPL0020-16-100,1716,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,null,0.003573,37
MBSMPL0020-16-100,1301,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,null,0.058619,607
MBSMPL0020-16-100,1298,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,null,0.056205,582
MBSMPL0020-16-100,1279,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,null,0.000579,6
MBSMPL0020-16-100,1243,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,null,0.006663,69
MBSMPL0020-16-100,1224,Bacteria,Proteobacteria,null,null,null,null,null,0.057653,597
MBSMPL0020-16-100,561,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,null,0.002028,21
MBSMPL0020-16-100,543,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,null,null,0.005408,56
