ID,Label
Parabacteroides_distasonis,Parabacteroides_distasonis
Sutterella_wadsworthensis,Sutterella_wadsworthensis
Bifidobacterium_bifidum,Bifidobacterium_bifidum
Parabacteroides_merdae,Parabacteroides_merdae
Clostridium_ramosum,Clostridium_ramosum
Granulicatella_unclassified,Granulicatella_unclassified
Rothia_mucilaginosa,Rothia_mucilaginosa
Roseburia_unclassified,Roseburia_unclassified
Lactobacillus_phage_Lc_Nu,Lactobacillus_phage_Lc_Nu
Streptococcus_peroris,Streptococcus_peroris
Human_endogenous_retrovirus_K,Human_endogenous_retrovirus_K
Klebsiella_pneumoniae,Klebsiella_pneumoniae
Streptococcus_parasanguinis,Streptococcus_parasanguinis
Klebsiella_oxytoca,Klebsiella_oxytoca
Bacteroides_ovatus,Bacteroides_ovatus
Bacteroides_uniformis,Bacteroides_uniformis
Bacteroides_vulgatus,Bacteroides_vulgatus
Bifidobacterium_dentium,Bifidobacterium_dentium
Bacteroides_caccae,Bacteroides_caccae
Clostridium_perfringens,Clostridium_perfringens
Citrobacter_unclassified,Citrobacter_unclassified
Bifidobacterium_breve,Bifidobacterium_breve
Alistipes_unclassified,Alistipes_unclassified
Enterobacter_cloacae,Enterobacter_cloacae
Bacteroides_massiliensis,Bacteroides_massiliensis
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron
Bifidobacterium_longum,Bifidobacterium_longum
Escherichia_coli,Escherichia_coli
