Ratio,rowmean,nDistinct
Comamonadaceae.___Enterobacteriaceae.Enterobacter,31.244540767981103,2
Enterobacteriaceae.Enterobacter___Oxalobacteraceae.,30.290096981230697,3
Enterobacteriaceae.Enterobacter___Moraxellaceae.Enhydrobacter,29.494882512072675,4
Enterobacteriaceae.Klebsiella___Xanthomonadaceae.,28.42213021518292,6
Enterobacteriaceae.Salmonella___Moraxellaceae.Enhydrobacter,26.416485672357666,10
Enterobacteriaceae.Aquamonas___Enterobacteriaceae.Enterobacter,25.69101171909874,12
Bradyrhizobiaceae.___Enterobacteriaceae.Enterobacter,23.458489606607777,19
Enterobacteriaceae.Enterobacter___Veillonellaceae.Acidaminococcus,23.155031295238143,20
Bacteroidaceae.Bacteroides___Enterobacteriaceae.Enterobacter,19.848426236196417,39
Enterobacteriaceae.Enterobacter___Listeriaceae.Listeria,19.618614380071804,43
Bacteroidaceae.Bacteroides___Erysipelotrichaceae.Coprobacillus,18.38701554559745,55
Bacteroidaceae.Bacteroides___Methanobacteriaceae.Methanobrevibacter,17.499417370558586,59
Clostridiaceae.___Rikenellaceae.,16.382377419902394,65
Alcaligenaceae.Sutterella___Ruminococcaceae.Anaerotruncus,15.75132151261613,68
Bacteroidaceae.Bacteroides___Clostridiaceae.Clostridium,15.63784007306157,70
Alcaligenaceae.Sutterella___Ruminococcaceae.,15.24239508977106,73
Enterobacteriaceae.Enterobacter___Enterobacteriaceae.Morganella,14.62722166078677,76
Mogibacteriaceae.___Enterobacteriaceae.Enterobacter,14.431252481685593,78
Enterobacteriaceae.Enterobacter___Lachnospiraceae.Clostridium,14.215884562497472,79
Peptostreptococcaceae.___Porphyromonadaceae.Parabacteroides,14.202001440027223,80
Clostridiaceae.___Ruminococcaceae.Faecalibacterium,14.069673868927005,81
Coriobacteriaceae.Collinsella___Lachnospiraceae.Dorea,13.052386157788606,87
Bacteroidaceae.Bacteroides___Lachnospiraceae.,12.351931232923672,91
Enterobacteriaceae.Enterobacter___Porphyromonadaceae.Porphyromonas,11.478850096856622,100
Lachnospiraceae.Blautia___Xanthomonadaceae.,10.510242085010264,103
Bacteroidaceae.Bacteroides___Veillonellaceae.Veillonella,10.50504653457801,104
Enterobacteriaceae.Enterobacter___Lachnospiraceae.Roseburia,10.277352122047986,105
Bacteroidaceae.Bacteroides___Enterococcaceae.Enterococcus,10.095583788836624,107
Enterobacteriaceae.Enterobacter___Porphyromonadaceae.Dysgonomonas,9.44859774796819,108
Coriobacteriaceae.Eggerthella___Porphyromonadaceae.Parabacteroides,8.93302650913409,110
Bacteroidaceae.Bacteroides___Peptostreptococcaceae.Clostridium.,6.42091814130793,117
Bacteroidaceae.Bacteroides___Erysipelotrichaceae.,6.093141578125773,119
Alcaligenaceae.Sutterella___Ruminococcaceae.Oscillospira,5.867414603050482,121
