Source,Target,Weight
Comamonadaceae.,Rikenellaceae.,0.7251511176237885
Rikenellaceae.,S24.7.,0.648085542335105
Enterococcaceae.,Lachnospiraceae.Lachnospira,0.6464378905213451
Lachnospiraceae.Lachnospira,Veillonellaceae.Dialister,0.6456700492037101
Lachnospiraceae.Lachnospira,Veillonellaceae.Megasphaera,0.6422071403964198
Lachnospiraceae.Lachnospira,Lactobacillaceae.,0.6238888239088626
Lachnospiraceae.Lachnospira,Pasteurellaceae.Aggregatibacter,0.6212447465593333
Lachnospiraceae.Lachnospira,Moraxellaceae.,0.6199351868554437
Enterobacteriaceae.Aquamonas,Lachnospiraceae.Lachnospira,0.5817413228899005
Bacillaceae.Anaerobacillus,Lachnospiraceae.Lachnospira,0.5502129432163261
Odoribacteraceae.Butyricimonas,Bacteroidaceae.Bacteroides,0.5484560588309785
Bacteroidaceae.Bacteroides,Porphyromonadaceae.Porphyromonas,0.4825715546301251
Bacteroidaceae.Bacteroides,Coriobacteriaceae.Collinsella,0.48001171363008965
Bacteroidaceae.Bacteroides,S24.7.,0.3367608189203154
Christensenellaceae.,Lachnospiraceae.Lachnospira,0.4873005347582491
Clostridiaceae.02d06,Lachnospiraceae.Lachnospira,0.4966911557375777
Erysipelotrichaceae.Bulleidia,Lachnospiraceae.Lachnospira,0.5660199135455473
Enterobacteriaceae.Citrobacter,Lachnospiraceae.Lachnospira,0.5786126802130505
Tissierellaceae.Peptoniphilus,Lachnospiraceae.Lachnospira,0.6040129684488685
Enterococcaceae.Enterococcus,Peptostreptococcaceae.,0.6711838365064424
Campylobacteraceae.Campylobacter,Lachnospiraceae.Lachnospira,0.7135528764073243
Clostridiaceae.SMB53,Lachnospiraceae.Lachnospira,0.755997386120978
Alcaligenaceae.Sutterella,Moraxellaceae.Enhydrobacter,0.7861360055560999
