Source,Target,Weight,taxa,Status,n,lb,ub,log_ratio,edgeweight,edgeweightCol
Bacteroidaceae.Bacteroides,S24.7.,0.27157425646483463,Bacteroidaceae.Bacteroides / S24.7.,Vaginal,55,0.19980088853283234,0.3433476243968369,0.27157425646483463,0.27157425646483463,pos
Bacteroidaceae.Bacteroides,Coriobacteriaceae.Collinsella,0.2611627333872469,Bacteroidaceae.Bacteroides / Coriobacteriaceae.Collinsella,Vaginal,55,0.18135347791441114,0.31164669123974004,0.2465000845770756,0.2465000845770756,pos
Bacteroidaceae.Bacteroides,Porphyromonadaceae.Porphyromonas,0.2465000845770756,Bacteroidaceae.Bacteroides / Porphyromonadaceae.Porphyromonas,Vaginal,55,0.14385714539773337,0.24721115850646275,0.19553415195209806,0.19553415195209806,pos
Rikenellaceae.,S24.7.,0.231863507156771,Rikenellaceae. / S24.7.,Vaginal,55,0.19214098884660605,0.33018447792788774,0.2611627333872469,0.2611627333872469,pos
Lachnospiraceae.Lachnospira,Moraxellaceae.,0.2086590254641546,Lachnospiraceae.Lachnospira / Moraxellaceae.,Vaginal,55,0.17058514805971775,0.29314186625382427,0.231863507156771,0.231863507156771,pos
Lachnospiraceae.Lachnospira,Pasteurellaceae.Aggregatibacter,0.1998843804372356,Lachnospiraceae.Lachnospira / Pasteurellaceae.Aggregatibacter,Vaginal,55,0.15351329404645292,0.2638047568818563,0.2086590254641546,0.2086590254641546,pos
Lachnospiraceae.Lachnospira,Lactobacillaceae.,0.19553415195209806,Lachnospiraceae.Lachnospira / Lactobacillaceae.,Vaginal,55,0.14705766789189645,0.25271109298257477,0.1998843804372356,0.1998843804372356,pos
Lachnospiraceae.Lachnospira,Veillonellaceae.Megasphaera,0.17158421743661778,Lachnospiraceae.Lachnospira / Veillonellaceae.Megasphaera,Vaginal,55,0.12623685156433853,0.21693158330889703,0.17158421743661778,0.17158421743661778,pos
Lachnospiraceae.Lachnospira,Veillonellaceae.Dialister,0.1683401847346679,Lachnospiraceae.Lachnospira / Veillonellaceae.Dialister,Vaginal,55,0.08558965671051647,0.14708145454351967,0.11633555562701807,0.11633555562701807,pos
Alcaligenaceae.Sutterella,Moraxellaceae.Enhydrobacter,0.11633555562701807,Alcaligenaceae.Sutterella / Moraxellaceae.Enhydrobacter,Vaginal,55,0.12385017241176915,0.21283019705756667,0.1683401847346679,0.1683401847346679,pos
Clostridiaceae.SMB53,Lachnospiraceae.Lachnospira,0.16582222834494006,Clostridiaceae.SMB53 / Lachnospiraceae.Lachnospira,Vaginal,55,-0.12199767751588536,-0.20964677917399477,-0.16582222834494006,0.16582222834494006,neg
Campylobacteraceae.Campylobacter,Lachnospiraceae.Lachnospira,0.16670653705404317,Campylobacteraceae.Campylobacter / Lachnospiraceae.Lachnospira,Vaginal,55,-0.12264827550744793,-0.2107647986006384,-0.16670653705404317,0.16670653705404317,neg
Enterococcaceae.Enterococcus,Peptostreptococcaceae.,0.1894666385052471,Enterococcaceae.Enterococcus / Peptostreptococcaceae.,Vaginal,55,-0.1393931929095758,-0.23954008410091837,-0.1894666385052471,0.1894666385052471,neg
Tissierellaceae.Peptoniphilus,Lachnospiraceae.Lachnospira,0.19007356220200353,Tissierellaceae.Peptoniphilus / Lachnospiraceae.Lachnospira,Vaginal,55,-0.13983971496016373,-0.24030740944384332,-0.19007356220200353,0.19007356220200353,neg
Enterobacteriaceae.Citrobacter,Lachnospiraceae.Lachnospira,0.20096518427105647,Enterobacteriaceae.Citrobacter / Lachnospiraceae.Lachnospira,Vaginal,55,-0.1478528300296415,-0.25407753851247145,-0.20096518427105647,0.20096518427105647,neg
Erysipelotrichaceae.Bulleidia,Lachnospiraceae.Lachnospira,0.21415942818642594,Erysipelotrichaceae.Bulleidia / Lachnospiraceae.Lachnospira,Vaginal,55,-0.15756001543125592,-0.27075884094159597,-0.21415942818642594,0.21415942818642594,neg
Clostridiaceae.02d06,Lachnospiraceae.Lachnospira,0.21461182153867883,Clostridiaceae.02d06 / Lachnospiraceae.Lachnospira,Vaginal,55,-0.1578928473974485,-0.27133079567990914,-0.21461182153867883,0.21461182153867883,neg
Christensenellaceae.,Lachnospiraceae.Lachnospira,0.21552523007760707,Christensenellaceae. / Lachnospiraceae.Lachnospira,Vaginal,55,-0.15856485453114,-0.27248560562407415,-0.21552523007760707,0.21552523007760707,neg
Odoribacteraceae.Butyricimonas,Bacteroidaceae.Bacteroides,0.22185337577330852,Odoribacteraceae.Butyricimonas / Bacteroidaceae.Bacteroides,Vaginal,55,-0.16322055772342725,-0.2804861938231898,-0.22185337577330852,0.22185337577330852,neg
Bacillaceae.Anaerobacillus,Lachnospiraceae.Lachnospira,0.22304965336128163,Bacillaceae.Anaerobacillus / Lachnospiraceae.Lachnospira,Vaginal,55,-0.16410067547877089,-0.2819986312437924,-0.22304965336128163,0.22304965336128163,neg
Enterobacteriaceae.Aquamonas,Lachnospiraceae.Lachnospira,0.22331490763464648,Enterobacteriaceae.Aquamonas / Lachnospiraceae.Lachnospira,Vaginal,55,-0.16429582666944453,-0.28233398859984843,-0.22331490763464648,0.22331490763464648,neg
Enterococcaceae.,Lachnospiraceae.Lachnospira,0.22388409644303628,Enterococcaceae. / Lachnospiraceae.Lachnospira,Vaginal,55,-0.1647145866474322,-0.2830536062386404,-0.22388409644303628,0.22388409644303628,neg
Comamonadaceae.,Rikenellaceae.,0.2505067497245815,Comamonadaceae. / Rikenellaceae.,Vaginal,55,-0.18430123617009425,-0.3167122632790687,-0.2505067497245815,0.2505067497245815,neg
