Source,Target,Weight,taxa,Status,n,lb,ub,log_ratio,edgeweight,edgeweightCol
Actinomycetaceae.Actinomyces,Bacteroidaceae.Bacteroides,0.43198986951613966,Actinomycetaceae.Actinomyces / Bacteroidaceae.Bacteroides,Cesarean,31,0.2799180343817111,0.5840617046505683,0.43198986951613966,0.43198986951613966,pos
Bacteroidaceae.Bacteroides,Clostridiaceae.,0.3824844812057331,Bacteroidaceae.Bacteroides / Clostridiaceae.,Cesarean,31,-0.3317883086232488,-0.6922913900337276,-0.5120398493284882,0.5120398493284882,neg
Bacteroidaceae.Bacteroides,Enterobacteriaceae.,0.27029994075956143,Bacteroidaceae.Bacteroides / Enterobacteriaceae.,Cesarean,31,-0.3071126311154886,-0.6408044670835007,-0.47395854909949464,0.47395854909949464,neg
Bacteroidaceae.Bacteroides,Enterobacteriaceae.Proteus,0.2757900413654359,Bacteroidaceae.Bacteroides / Enterobacteriaceae.Proteus,Cesarean,31,-0.22744377071186772,-0.4745717678660787,-0.3510077692889732,0.3510077692889732,neg
Bacteroidaceae.Bacteroides,Peptostreptococcaceae.Clostridium.,0.32566490086972927,Bacteroidaceae.Bacteroides / Peptostreptococcaceae.Clostridium.,Cesarean,31,-0.2518931634917928,-0.5255865374440954,-0.3887398504679441,0.3887398504679441,neg
Bacteroidaceae.Bacteroides,Erysipelotrichaceae.Eubacterium.,0.329312654751588,Bacteroidaceae.Bacteroides / Erysipelotrichaceae.Eubacterium.,Cesarean,31,-0.25406313543260284,-0.5301142825520263,-0.39208870899231457,0.39208870899231457,neg
Bacteroidaceae.Bacteroides,Lachnospiraceae.Ruminococcus.,0.33786356305682835,Bacteroidaceae.Bacteroides / Lachnospiraceae.Ruminococcus.,Cesarean,31,-0.25615472924951915,-0.5344784881411484,-0.39531660869533375,0.39531660869533375,neg
Bacteroidaceae.Bacteroides,Clostridiaceae.Clostridium,0.34804246953508855,Bacteroidaceae.Bacteroides / Clostridiaceae.Clostridium,Cesarean,31,-0.2996615002065991,-0.6252573436913508,-0.46245942194897494,0.46245942194897494,neg
Enterococcaceae.Enterococcus,Listeriaceae.Listeria,0.3510077692889732,Enterococcaceae.Enterococcus / Listeriaceae.Listeria,Cesarean,31,0.24783984930141348,0.5171291131100527,0.3824844812057331,0.3824844812057331,pos
Clostridiaceae.,Lachnospiraceae.Dorea,0.38207263324050783,Clostridiaceae. / Lachnospiraceae.Dorea,Cesarean,31,0.17514722786359826,0.3654526536555246,0.27029994075956143,0.27029994075956143,pos
Coriobacteriaceae.Collinsella,Enterococcaceae.Enterococcus,0.3859483214089018,Coriobacteriaceae.Collinsella / Enterococcaceae.Enterococcus,Cesarean,31,-0.1787046681616208,-0.372875414569251,-0.2757900413654359,0.2757900413654359,neg
Alcaligenaceae.Sutterella,Lachnospiraceae.Blautia,0.3887398504679441,Alcaligenaceae.Sutterella / Lachnospiraceae.Blautia,Cesarean,31,-0.2110222608244835,-0.44030754091497504,-0.32566490086972927,0.32566490086972927,neg
Bifidobacteriaceae.Bifidobacterium,Enterobacteriaceae.,0.39208870899231457,Bifidobacteriaceae.Bifidobacterium / Enterobacteriaceae.,Cesarean,31,-0.21338590906850788,-0.44523940043466814,-0.329312654751588,0.329312654751588,neg
Erysipelotrichaceae.Holdemania,Peptostreptococcaceae.,0.39531660869533375,Erysipelotrichaceae.Holdemania / Peptostreptococcaceae.,Cesarean,31,-0.21892667197496696,-0.45680045413868975,-0.33786356305682835,0.33786356305682835,neg
Bacillaceae.Bacillus,Enterococcaceae.Enterococcus,0.42443158097930933,Bacillaceae.Bacillus / Enterococcaceae.Enterococcus,Cesarean,31,-0.22552233473145994,-0.47056260433871716,-0.34804246953508855,0.34804246953508855,neg
Odoribacteraceae.Odoribacter,Peptostreptococcaceae.,0.4585555464275523,Odoribacteraceae.Odoribacter / Peptostreptococcaceae.,Cesarean,31,-0.24757298268942768,-0.516572283791588,-0.38207263324050783,0.38207263324050783,neg
Actinomycetaceae.Mobiluncus,Micrococcaceae.Rothia,0.46245942194897494,Actinomycetaceae.Mobiluncus / Micrococcaceae.Rothia,Cesarean,31,-0.2500843263354915,-0.5218123164823121,-0.3859483214089018,0.3859483214089018,neg
Bifidobacteriaceae.,Enterococcaceae.Enterococcus,0.47395854909949464,Bifidobacteriaceae. / Enterococcaceae.Enterococcus,Cesarean,31,-0.2750204628879881,-0.5738426990706306,-0.42443158097930933,0.42443158097930933,neg
Enterobacteriaceae.Raoultella,Micrococcaceae.Rothia,0.5120398493284882,Enterobacteriaceae.Raoultella / Micrococcaceae.Rothia,Cesarean,31,-0.2971318918996926,-0.619979200955412,-0.4585555464275523,0.4585555464275523,neg
