Source,Target,Weight
Cloacimonadaceae_W5,Paenibacillaceae_Paenibacillus,3.047401782264858
Paenibacillaceae_Paenibacillus,Yersiniaceae_g.,6.0684669654657615
Paenibacillaceae_Paenibacillus,Pseudomonadaceae_Pseudomonas,3.1420794772030476
Halomonadaceae_g.,Paenibacillaceae_Paenibacillus,2.9933246974106833
Comamonadaceae_Diaphorobacter,Paenibacillaceae_Paenibacillus,1.7950180347536784
Comamonadaceae_g.,Paenibacillaceae_Paenibacillus,1.3101426128939717
Actinomycetaceae_Actinomyces,Paenibacillaceae_Paenibacillus,2.5777776776814147
Erwiniaceae_Pantoea,Paenibacillaceae_Paenibacillus,7.189684298320412
Lactobacillaceae_Lactobacillus,Paenibacillaceae_Paenibacillus,2.6605084663185843
Chroococcidiopsaceae_Chroococcidiopsis,Paenibacillaceae_Paenibacillus,1.212946493096882
Micrococcaceae_Rothia,Paenibacillaceae_Paenibacillus,4.485454733135735
Beijerinckiaceae_Psychroglaciecola,Paenibacillaceae_Paenibacillus,3.2658805963477433
