Status,Mogibacteriaceae.,Odoribacteraceae.Odoribacter,Tissierellaceae.1.68,Tissierellaceae.Anaerococcus,Tissierellaceae.Finegoldia,Tissierellaceae.Peptoniphilus,Tissierellaceae.ph2,Tissierellaceae.WAL_1855D,Actinomycetaceae.Actinomyces,Actinomycetaceae.Varibaculum,Aeromonadaceae.,Alcaligenaceae.Sutterella,Bacillaceae.Bacillus,Bacteroidaceae.Bacteroides,Bifidobacteriaceae.,Bifidobacteriaceae.Bifidobacterium,Bifidobacteriaceae.Gardnerella,Campylobacteraceae.Campylobacter,Carnobacteriaceae.Granulicatella,Christensenellaceae.,Clostridiaceae.,Clostridiaceae.Clostridium,Clostridiaceae.Sarcina,Clostridiaceae.SMB53,Comamonadaceae.,Coriobacteriaceae.,Coriobacteriaceae.Atopobium,Coriobacteriaceae.Collinsella,Coriobacteriaceae.Eggerthella,Corynebacteriaceae.Corynebacterium,Desulfovibrionaceae.Bilophila,Desulfovibrionaceae.Desulfovibrio,Enterobacteriaceae.,Enterobacteriaceae.Aquamonas,Enterobacteriaceae.Citrobacter,Enterobacteriaceae.Enterobacter,Enterobacteriaceae.Erwinia,Enterobacteriaceae.Klebsiella,Enterobacteriaceae.Pantoea,Enterobacteriaceae.Proteus,Enterobacteriaceae.Salmonella,Enterobacteriaceae.Serratia,Enterococcaceae.,Enterococcaceae.Enterococcus,Erysipelotrichaceae.,Erysipelotrichaceae.Eubacterium.,Erysipelotrichaceae.Clostridium,Erysipelotrichaceae.Coprobacillus,Erysipelotrichaceae.Holdemania,Fusobacteriaceae.Fusobacterium,Gemellaceae.,Lachnospiraceae.,Lachnospiraceae.Ruminococcus.,Lachnospiraceae.Anaerostipes,Lachnospiraceae.Blautia,Lachnospiraceae.Clostridium,Lachnospiraceae.Coprococcus,Lachnospiraceae.Dorea,Lachnospiraceae.Epulopiscium,Lachnospiraceae.Lachnobacterium,Lachnospiraceae.Lachnospira,Lachnospiraceae.Roseburia,Lactobacillaceae.Lactobacillus,Listeriaceae.Listeria,Methylobacteriaceae.Methylobacterium,Micrococcaceae.Rothia,Moraxellaceae.Acinetobacter,Nocardiaceae.Rhodococcus,Oxalobacteraceae.,Pasteurellaceae.,Pasteurellaceae.Aggregatibacter,Pasteurellaceae.Haemophilus,Peptococcaceae.,Peptostreptococcaceae.,Peptostreptococcaceae.Clostridium.,Peptostreptococcaceae.Peptostreptococcus,Planococcaceae.,Porphyromonadaceae.Dysgonomonas,Porphyromonadaceae.Parabacteroides,Porphyromonadaceae.Porphyromonas,Prevotellaceae.Prevotella,Pseudomonadaceae.Pseudomonas,Rikenellaceae.,Ruminococcaceae.,Ruminococcaceae.Anaerotruncus,Ruminococcaceae.Faecalibacterium,Ruminococcaceae.Oscillospira,Ruminococcaceae.Ruminococcus,S24.7.,Staphylococcaceae.Staphylococcus,Streptococcaceae.Lactococcus,Streptococcaceae.Streptococcus,Turicibacteraceae.Turicibacter,Veillonellaceae.Acidaminococcus,Veillonellaceae.Dialister,Veillonellaceae.Megasphaera,Veillonellaceae.Phascolarctobacterium,Veillonellaceae.Veillonella,Verrucomicrobiaceae.Akkermansia,Xanthomonadaceae.,Xanthomonadaceae.Stenotrophomonas
Cesarean,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,2.140962525309527e-4,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,7.136541751031756e-5,3.568270875515878e-4,1.8423974894318915e-5,0.7319237219858169,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,0.0018555008552682568,4.281925050619054e-4,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.427308350206351e-4,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,0.003282809205474608,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.427308350206351e-4,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,0.010133889286465093,1.427308350206351e-4,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.427308350206351e-4,2.140962525309527e-4,1.8423974894318915e-5,7.136541751031756e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,4.281925050619054e-4,6.422887575928581e-4,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,7.136541751031756e-5,0.04174876924353577,1.8423974894318915e-5,7.136541751031756e-5,2.854616700412702e-4,1.8423974894318915e-5,3.568270875515878e-4,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,1.427308350206351e-4,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,8.563850101238108e-4,1.8423974894318915e-5,0.010205254703975413,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5,2.140962525309527e-4,1.8423974894318915e-5,0.19447076271561536,1.8423974894318915e-5,1.8423974894318915e-5,1.8423974894318915e-5
Cesarean,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,6.91119200355491e-5,1.8428740272938096e-5,4.837834402488437e-4,6.91119200355491e-5,0.19271858901912867,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,0.012440145606398837,0.27520366558155646,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,6.91119200355491e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,0.035799974578414426,1.8428740272938096e-5,1.8428740272938096e-5,1.382238400710982e-4,1.8428740272938096e-5,6.91119200355491e-5,3.455596001777455e-5,1.8428740272938096e-5,6.91119200355491e-5,3.455596001777455e-5,1.8428740272938096e-5,8.293430404265891e-4,0.08435109840338767,1.8428740272938096e-5,3.455596001777455e-4,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,0.20477861906533196,3.8011556019552e-4,1.8428740272938096e-5,3.455596001777455e-5,1.8428740272938096e-5,1.8428740272938096e-5,0.019489561450024843,0.03797700005953422,1.8428740272938096e-5,1.8428740272938096e-5,3.455596001777455e-5,4.1467152021329456e-4,6.91119200355491e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,6.91119200355491e-5,3.455596001777455e-5,1.382238400710982e-4,0.005148838042648408,1.8428740272938096e-5,1.0366788005332364e-4,1.8428740272938096e-5,1.0366788005332364e-4,1.8428740272938096e-5,1.8428740272938096e-5,1.8428740272938096e-5,1.0366788005332364e-4,3.455596001777455e-5,1.8428740272938096e-5,6.91119200355491e-5,3.455596001777455e-5,3.455596001777455e-5,1.8428740272938096e-5,3.455596001777455e-5,1.8428740272938096e-5,0.001382238400710982,1.8428740272938096e-5,1.8428740272938096e-5,3.455596001777455e-5,1.8428740272938096e-5,1.8428740272938096e-5,0.12561091466461047,3.455596001777455e-5,1.8428740272938096e-5,1.8428740272938096e-5
Cesarean,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,9.20141597621533e-5,1.2268554634953775e-4,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,5.827563451603043e-4,9.20141597621533e-5,0.25846777477188865,1.843214411480894e-5,6.134277317476887e-5,9.20141597621533e-5,1.843214411480894e-5,0.05272411354371384,0.12756229681693187,1.843214411480894e-5,6.440991183350732e-4,1.843214411480894e-5,1.843214411480894e-5,3.067138658738444e-5,1.843214411480894e-5,0.0017789404220682973,1.843214411480894e-5,1.843214411480894e-5,3.067138658738444e-5,0.05115987282775723,3.067138658738444e-5,0.0014415551696070684,4.90742185398151e-4,1.843214411480894e-5,0.011164384717807934,1.843214411480894e-5,1.843214411480894e-5,1.2268554634953775e-4,9.20141597621533e-5,1.843214411480894e-5,0.003159152818500597,3.067138658738444e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,2.453710926990755e-4,9.20141597621533e-5,0.0014415551696070684,0.12418844429231958,3.067138658738444e-5,9.20141597621533e-5,1.843214411480894e-5,3.373852524612288e-4,3.067138658738444e-5,6.134277317476887e-5,1.843214411480894e-5,3.067138658738444e-5,6.134277317476887e-5,3.067138658738444e-5,1.2268554634953775e-4,1.843214411480894e-5,3.373852524612288e-4,2.453710926990755e-4,1.843214411480894e-5,1.843214411480894e-5,3.067138658738444e-5,1.843214411480894e-5,0.00325116697826275,1.843214411480894e-5,6.134277317476887e-5,1.843214411480894e-5,1.843214411480894e-5,3.067138658738444e-5,1.843214411480894e-5,9.20141597621533e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,0.03646827865240009,1.843214411480894e-5,0.09587875447216375,0.15400103205525725,1.840283195243066e-4,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,0.003005795885563675,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,0.06864256318256637,3.067138658738444e-5,6.134277317476887e-5,1.843214411480894e-5
Cesarean,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,6.73674359616233e-5,1.843214411480894e-5,1.843214411480894e-5,0.024218593228203574,1.843214411480894e-5,0.3299320176220501,3.368371798081165e-5,0.19819499659909573,1.843214411480894e-5,1.843214411480894e-5,1.0105115394243494e-4,1.843214411480894e-5,0.001616818463078959,4.3788833375055144e-4,3.368371798081165e-5,1.0105115394243494e-4,3.368371798081165e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,5.389394876929864e-4,1.843214411480894e-5,0.0019536556428870755,3.368371798081165e-5,0.04274463811764998,1.843214411480894e-5,1.843214411480894e-5,1.0105115394243494e-4,1.843214411480894e-5,1.347348719232466e-4,1.843214411480894e-5,1.843214411480894e-5,3.368371798081165e-5,3.368371798081165e-5,1.843214411480894e-5,3.368371798081165e-5,0.021591263225700267,0.0011789301293284075,1.347348719232466e-4,1.843214411480894e-5,9.431441034627262e-4,0.0018526044889446405,1.843214411480894e-5,0.024252276946184384,0.026576453486860392,1.843214411480894e-5,0.005389394876929863,1.843214411480894e-5,0.0073767342377977505,0.034828964392159246,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,0.010239850266166741,3.368371798081165e-5,1.843214411480894e-5,1.843214411480894e-5,1.347348719232466e-4,1.843214411480894e-5,1.843214411480894e-5,3.368371798081165e-5,1.843214411480894e-5,1.347348719232466e-4,0.0025599625665416854,1.843214411480894e-5,7.073580775970446e-4,0.025262788485608735,1.843214411480894e-5,3.368371798081165e-5,1.843214411480894e-5,1.347348719232466e-4,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,0.038264703626202025,0.00451361820942876,4.0420461576973974e-4,0.17225853375387076,0.014888203347518747,0.002290492822695192,1.843214411480894e-5,3.368371798081165e-5,1.843214411480894e-5,5.389394876929864e-4,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,6.73674359616233e-5,1.843214411480894e-5,0.002021023078848699,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5
Cesarean,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,4.020721989489329e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,8.041443978978659e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,0.01330858978520968,1.8430101809686436e-5,0.25539626077236216,1.8430101809686436e-5,0.0042217580889637955,1.8430101809686436e-5,1.8430101809686436e-5,1.6082887957957317e-4,3.2165775915914634e-4,0.007679578999924618,0.001246423816741692,1.8430101809686436e-5,3.618649790540396e-4,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,0.0011258021570570123,2.4124331936935974e-4,1.2062165968467987e-4,0.0034980281308557163,1.8430101809686436e-5,2.0103609947446643e-4,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,0.004905280827176981,0.005066109706756555,1.8430101809686436e-5,7.237299581080792e-4,0.001246423816741692,1.8430101809686436e-5,1.8430101809686436e-5,0.12568776939143644,0.013509625884684144,1.8430101809686436e-5,0.006875434602026753,1.8430101809686436e-5,0.012424030947522027,0.005669218005179955,1.8430101809686436e-5,1.8430101809686436e-5,0.03944328271689032,0.008523930617717378,3.2165775915914634e-4,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,5.629010785285062e-4,1.8430101809686436e-5,1.8430101809686436e-5,6.83522738213186e-4,2.0103609947446643e-4,1.8430101809686436e-5,4.0207219894893286e-4,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,4.020721989489329e-5,1.8430101809686436e-5,1.8430101809686436e-5,8.041443978978659e-5,0.09545194003047666,0.03687002064361715,0.0010453877172672257,0.23328228983017085,0.01049408439256715,0.09818603098332941,1.8430101809686436e-5,1.8430101809686436e-5,1.8430101809686436e-5,0.0059908757643391,1.8430101809686436e-5,1.8430101809686436e-5,0.001648496015690625,1.8430101809686436e-5,1.8430101809686436e-5,8.041443978978659e-5,0.0013268382565314787,1.8430101809686436e-5,2.0103609947446643e-4
Cesarean,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8453252499187975e-4,1.8430782578060603e-5,1.8430782578060603e-5,7.38130099967519e-5,1.8430782578060603e-5,4.059715549821355e-4,1.8430782578060603e-5,0.005203817204771009,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,0.4449448242604204,0.03661125295838894,1.8453252499187975e-4,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,2.952520399870076e-4,1.8430782578060603e-5,1.8430782578060603e-5,0.3049584508015805,1.8430782578060603e-5,0.003948996034826227,0.005240723709769385,1.1071951499512784e-4,0.014799508504348757,7.38130099967519e-5,1.8430782578060603e-5,0.0011071951499512787,1.1071951499512784e-4,1.8430782578060603e-5,2.2143902999025567e-4,2.583455349886317e-4,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,2.2143902999025567e-4,9.226626249593988e-4,1.8430782578060603e-5,3.690650499837595e-5,1.8430782578060603e-5,6.274105849723911e-4,1.1071951499512784e-4,1.1071951499512784e-4,1.8430782578060603e-5,1.1071951499512784e-4,3.690650499837595e-5,0.017272244339239948,7.38130099967519e-5,1.8430782578060603e-5,3.690650499837595e-4,0.003247772439857084,1.8430782578060603e-5,1.8430782578060603e-5,1.476260199935038e-4,0.03609456188841168,0.008303963624634588,1.8430782578060603e-5,0.0013655406849399103,0.04070787501320867,1.8430782578060603e-5,4.059715549821355e-4,1.8430782578060603e-5,3.690650499837595e-5,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,3.690650499837595e-5,0.0010333821399545267,1.8430782578060603e-5,0.003026333409866828,0.0029894269048684518,1.8430782578060603e-5,1.8430782578060603e-5,0.0024727358348911885,1.8430782578060603e-5,0.05849681042242588,1.8430782578060603e-5,1.8430782578060603e-5,1.8430782578060603e-5,7.38130099967519e-5,1.8430782578060603e-5,0.0018822317549171735,3.690650499837595e-5,1.8430782578060603e-5,1.8430782578060603e-5
Cesarean,1.842976142549935e-5,0.0024905522675505295,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,0.012452761337752647,1.842976142549935e-5,0.3906671548099874,1.842976142549935e-5,0.06230750058819395,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.7477559772284415e-4,0.018569907258052194,3.932450948763994e-4,8.738779886142208e-5,8.738779886142208e-5,1.842976142549935e-5,0.001092347485767776,4.369389943071104e-5,0.005199574032254614,1.3108169829213314e-4,1.842976142549935e-5,0.01175365894686127,1.842976142549935e-5,0.005418043529408169,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,0.0029274912618576397,7.864901897527988e-4,1.842976142549935e-5,0.0026216339658426627,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,0.053306557305467475,0.004631553339655371,1.842976142549935e-5,0.018613601157482906,1.842976142549935e-5,0.01559872209676384,0.00624822761859168,1.842976142549935e-5,4.369389943071104e-5,3.058572960149773e-4,3.932450948763994e-4,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,4.369389943071104e-5,1.842976142549935e-5,8.301840891835098e-4,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,0.03897495829219425,1.842976142549935e-5,1.7477559772284415e-4,1.842976142549935e-5,0.060079111717227685,0.031940240483849774,0.0020536132732434194,0.03189654658441907,0.040373163073977,0.0435191238329882,1.842976142549935e-5,1.842976142549935e-5,1.842976142549935e-5,0.0013545108823520423,4.369389943071104e-5,1.842976142549935e-5,8.738779886142208e-5,0.0027964095635655065,0.006029758121438123,2.1846949715355522e-4,0.12216814280826807,1.842976142549935e-5,1.842976142549935e-5
Vaginal,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,3.3142373776267846e-5,1.8426357583628506e-005,1.8426357583628506e-005,1.3256949510507139e-4,6.628474755253569e-5,0.2990104962094885,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,9.942712132880353e-5,1.6571186888133925e-4,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,2.9828136398641063e-4,0.6874059744935714,3.3142373776267846e-5,1.8426357583628506e-005,1.3256949510507139e-4,1.8426357583628506e-005,6.628474755253569e-5,3.3142373776267846e-5,1.8426357583628506e-005,9.942712132880353e-5,2.9828136398641063e-4,1.8426357583628506e-005,3.3142373776267846e-5,1.8426357583628506e-005,3.3142373776267846e-5,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,3.3142373776267846e-5,9.942712132880353e-5,1.9885424265760705e-4,1.8426357583628506e-005,3.3142373776267846e-5,9.942712132880353e-5,1.8426357583628506e-005,6.628474755253569e-5,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,6.628474755253569e-5,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.9885424265760705e-4,1.3256949510507139e-4,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,9.942712132880353e-5,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.6571186888133925e-4,1.8426357583628506e-005,3.3142373776267846e-5,1.8426357583628506e-005,3.3142373776267846e-5,1.8426357583628506e-005,1.8426357583628506e-005,6.628474755253569e-5,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,0.0014251220723795175,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,1.8426357583628506e-005,0.008020454453856818,1.8426357583628506e-005,3.3142373776267846e-5,1.8426357583628506e-005
Vaginal,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,0.022787140542524204,1.843214411480894e-5,0.19833499451675024,2.6729783627594373e-4,0.09088126433382086,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,3.3412229534492966e-5,0.0038089941669321977,0.008286232924554255,2.6729783627594373e-4,1.843214411480894e-5,6.682445906898593e-5,3.3412229534492966e-5,1.843214411480894e-5,0.002906863969500888,9.0213019743131e-4,1.843214411480894e-5,0.008252820695019761,1.843214411480894e-5,0.002873451739966395,1.843214411480894e-5,1.843214411480894e-5,6.682445906898593e-5,1.843214411480894e-5,3.3412229534492966e-5,1.843214411480894e-5,3.3412229534492966e-5,3.3412229534492966e-5,1.843214411480894e-5,1.843214411480894e-5,3.3412229534492966e-5,0.01824307732583316,0.001002366886034789,1.3364891813797186e-4,4.6777121348290146e-4,1.843214411480894e-5,3.3412229534492966e-5,1.843214411480894e-5,0.04420437967413419,0.09021301974313099,1.843214411480894e-5,0.029068639695008877,1.843214411480894e-5,0.005680079020863804,0.005045246659708438,6.682445906898593e-5,1.843214411480894e-5,0.0270639059229393,0.001035779115569282,6.682445906898593e-5,1.843214411480894e-5,1.843214411480894e-5,3.3412229534492966e-5,6.682445906898593e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,1.6706114767246484e-4,1.843214411480894e-5,1.002366886034789e-4,0.0025393294446214654,3.3412229534492966e-5,1.843214411480894e-5,1.843214411480894e-5,0.3158123935600275,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,0.006882919284105551,0.02863428071106047,1.6706114767246484e-4,6.682445906898593e-5,0.008586942990364691,0.008152584006416283,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,0.0025727416741559584,1.843214411480894e-5,3.3412229534492966e-5,1.843214411480894e-5,1.843214411480894e-5,1.843214411480894e-5,7.016568202243522e-4,0.06228039585229488,1.843214411480894e-5,1.843214411480894e-5
Cesarean,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,5.270521811353778e-5,0.4310759789506255,1.842669796781559e-5,0.0010541043622707556,1.842669796781559e-5,1.842669796781559e-5,1.0541043622707556e-4,1.842669796781559e-5,5.797573992489156e-4,0.058133855579232174,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,3.689365267947645e-4,0.4746631943305213,1.0541043622707556e-4,1.842669796781559e-5,2.635260905676889e-4,1.842669796781559e-5,1.0541043622707556e-4,1.5811565434061336e-4,5.270521811353778e-5,5.270521811353778e-5,3.689365267947645e-4,1.0541043622707556e-4,0.016760259360105015,2.1082087245415112e-4,1.842669796781559e-5,5.270521811353778e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.0541043622707556e-4,1.842669796781559e-5,1.5811565434061336e-4,1.842669796781559e-5,1.842669796781559e-5,5.270521811353778e-5,1.842669796781559e-5,5.270521811353778e-5,5.270521811353778e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,6.851678354759911e-4,1.842669796781559e-5,1.0541043622707556e-4,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,5.270521811353778e-5,1.842669796781559e-5,0.008907181861187885,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.0541043622707556e-4,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,5.270521811353778e-5,1.0541043622707556e-4,1.842669796781559e-5,1.842669796781559e-5,0.0015284513252925957,1.842669796781559e-5,8.959887079301424e-4,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5,0.001633861761519671,1.842669796781559e-5,1.842669796781559e-5,1.842669796781559e-5
