Ratio,rowmean,nDistinct
Eggerthella_unclassified___Enterococcus_faecium,28.762666822302737,2
Haemophilus_haemolyticus___Streptococcus_parasanguinis,27.93662333762464,4
Clostridium_hathewayi___Enterococcus_faecium,26.825731832028737,5
Clostridium_hathewayi___Lactococcus_lactis,24.955852269645316,7
Haemophilus_haemolyticus___Haemophilus_paraphrohaemolyticus,22.22479438649388,8
Actinomyces_odontolyticus___Clostridium_hathewayi,21.980464235942964,9
Escherichia_unclassified___Haemophilus_haemolyticus,21.733993606214863,10
Akkermansia_muciniphila___Clostridium_difficile,21.28722637968403,13
Bacteroides_dorei___Granulicatella_unclassified,20.85472425406245,17
Bacteroides_dorei___Dorea_unclassified,20.380537438844115,19
Bacteroides_cellulosilyticus___Bacteroides_dorei,20.056234737257313,19
Clostridium_hathewayi___Lachnospiraceae_bacterium_9_1_43BFAA,18.382941582617697,30
Faecalibacterium_prausnitzii___Haemophilus_haemolyticus,18.233315511010883,31
Clostridium_hathewayi___Erysipelotrichaceae_bacterium_21_3,18.094711857394273,32
Bacteroides_dorei___Lachnospiraceae_bacterium_2_1_58FAA,17.515068642597193,34
Akkermansia_muciniphila___Alistipes_unclassified,17.498895773692823,35
Clostridium_clostridioforme___Clostridium_hathewayi,16.77666065209192,37
Bacteroides_dorei___Erysipelotrichaceae_bacterium_6_1_45,16.644157715257933,38
Akkermansia_muciniphila___Alistipes_onderdonkii,16.47234229024176,41
Anaerotruncus_unclassified___Haemophilus_haemolyticus,16.012361838253366,43
Clostridium_hathewayi___Enterococcus_faecalis,15.804655865936743,45
Clostridium_hathewayi___Collinsella_aerofaciens,15.539060654390385,46
Bacteroides_dorei___Roseburia_intestinalis,14.440954809541793,55
Bacteroides_vulgatus___Veillonella_parvula,14.30422066156311,56
Oscillibacter_unclassified___Streptococcus_salivarius,13.329855779141669,62
Akkermansia_muciniphila___Bacteroides_thetaiotaomicron,13.259812127629404,63
Eubacterium_eligens___Haemophilus_haemolyticus,12.61719833878092,68
Bacteroides_dorei___Eubacterium_rectale,11.850703892947388,71
Bacteroides_dorei___Ruminococcus_sp_5_1_39BFAA,11.336864705654321,78
Bacteroides_dorei___Dorea_formicigenerans,11.095338548004158,80
Clostridium_hathewayi___Enterococcus_casseliflavus,10.659497740015976,84
Eggerthella_unclassified___Streptococcus_australis,9.72902802212572,90
Collinsella_aerofaciens___Veillonella_unclassified,8.865904053293578,96
Actinobacillus_unclassified___Eggerthella_unclassified,8.739900555843946,100
Anaerostipes_hadrus___Haemophilus_haemolyticus,8.66756168892464,103
Clostridium_hathewayi___Lactobacillus_casei_paracasei,8.231058094357378,107
Eggerthella_lenta___Eggerthella_unclassified,7.413460223783547,112
