Ratio,rowmean,nDistinct
Clostridium_ramosum___Streptococcus_parasanguinis,27.558689237898264,2
Bifidobacterium_bifidum___Clostridium_ramosum,24.457206036118674,3
Parabacteroides_distasonis___Streptococcus_parasanguinis,23.057410637457416,4
Clostridium_ramosum___Escherichia_coli,18.701545681529545,7
Bifidobacterium_bifidum___Klebsiella_pneumoniae,18.312895824682865,8
Clostridium_ramosum___Rothia_mucilaginosa,17.113329339102304,9
Clostridium_ramosum___Granulicatella_unclassified,16.300042565853172,14
Clostridium_ramosum___Streptococcus_peroris,13.971835742752617,24
Clostridium_perfringens___Streptococcus_parasanguinis,13.675119031099461,28
Parabacteroides_distasonis___Sutterella_wadsworthensis,13.452513049810111,29
Bifidobacterium_dentium___Clostridium_ramosum,13.358723789212677,30
Bacteroides_massiliensis___Clostridium_ramosum,13.08775879284615,31
Clostridium_ramosum___Roseburia_unclassified,12.615939442412348,32
Alistipes_unclassified___Clostridium_ramosum,12.282238306727038,34
Bifidobacterium_bifidum___Bifidobacterium_longum,12.066786427058757,36
Citrobacter_unclassified___Streptococcus_parasanguinis,11.661666500732238,40
Clostridium_ramosum___Lactobacillus_phage_Lc_Nu,10.878024217918888,50
Bacteroides_caccae___Clostridium_ramosum,10.788390832487393,51
Bacteroides_thetaiotaomicron___Bifidobacterium_bifidum,10.595809920913402,52
Bifidobacterium_bifidum___Parabacteroides_merdae,10.333129431629812,53
Bifidobacterium_bifidum___Klebsiella_oxytoca,10.143628932791133,54
Enterobacter_cloacae___Klebsiella_pneumoniae,10.047657133557117,56
Clostridium_ramosum___Human_endogenous_retrovirus_K,9.988375500426498,57
Bacteroides_ovatus___Bifidobacterium_bifidum,7.110028516245647,68
Bifidobacterium_bifidum___Bifidobacterium_breve,6.899710470470662,69
Bacteroides_uniformis___Bacteroides_vulgatus,5.717756437769251,72
