Ratio,rowmean,nDistinct
Cloacimonadaceae_W5___Paenibacillaceae_Paenibacillus,22.218214970158396,2
Halomonadaceae_g.___Paenibacillaceae_Paenibacillus,21.057308397158202,3
Paenibacillaceae_Paenibacillus___Yersiniaceae_g.,20.348220580698953,4
Comamonadaceae_Diaphorobacter___Paenibacillaceae_Paenibacillus,20.19962715165037,5
Comamonadaceae_g.___Paenibacillaceae_Paenibacillus,19.638740623835105,8
Actinomycetaceae_Actinomyces___Paenibacillaceae_Paenibacillus,19.63649180500741,9
Erwiniaceae_Pantoea___Paenibacillaceae_Paenibacillus,18.934402069694404,12
Paenibacillaceae_Paenibacillus___Pseudomonadaceae_Pseudomonas,18.74490824028141,15
Lactobacillaceae_Lactobacillus___Paenibacillaceae_Paenibacillus,17.278968258199086,21
Chroococcidiopsaceae_Chroococcidiopsis___Paenibacillaceae_Paenibacillus,15.28396614144052,33
Micrococcaceae_Rothia___Paenibacillaceae_Paenibacillus,13.90961736174706,41
Beijerinckiaceae_Psychroglaciecola___Paenibacillaceae_Paenibacillus,11.781148615389862,50
