Type,Seed,fname,rep,num_ratios,tstat,optMetric
empirical,7,diabimmune_6-12,1,38,70.33152935987982,combinedF
null,7,diabimmune_6-12,1,28,27.32972662219693,combinedF
null,7,diabimmune_6-12,2,26,47.82858045491393,combinedF
null,7,diabimmune_6-12,3,26,20.289328212571867,combinedF
null,7,diabimmune_6-12,4,18,23.56672313606444,combinedF
null,7,diabimmune_6-12,5,28,27.977512803233388,combinedF
null,7,diabimmune_6-12,6,14,49.59249943456213,combinedF
null,7,diabimmune_6-12,7,32,61.27023856834893,combinedF
null,7,diabimmune_6-12,8,16,40.41582422526935,combinedF
null,7,diabimmune_6-12,9,23,34.32356396979741,combinedF
null,7,diabimmune_6-12,10,11,18.216023461125047,combinedF
null,7,diabimmune_6-12,11,32,34.94763030285509,combinedF
null,7,diabimmune_6-12,12,13,31.984955731559523,combinedF
null,7,diabimmune_6-12,13,18,47.40680766866693,combinedF
null,7,diabimmune_6-12,14,35,36.92222719323308,combinedF
null,7,diabimmune_6-12,15,26,34.76337836454249,combinedF
null,7,diabimmune_6-12,16,22,23.450278700712886,combinedF
null,7,diabimmune_6-12,17,19,34.13142852791458,combinedF
null,7,diabimmune_6-12,18,19,14.725141757233574,combinedF
null,7,diabimmune_6-12,19,28,46.34441790547983,combinedF
null,7,diabimmune_6-12,20,27,50.68121074543368,combinedF
null,7,diabimmune_6-12,21,38,41.29004634676288,combinedF
null,7,diabimmune_6-12,22,18,44.831509588027934,combinedF
null,7,diabimmune_6-12,23,38,58.14516574444389,combinedF
null,7,diabimmune_6-12,24,30,41.235418223656836,combinedF
null,7,diabimmune_6-12,25,28,41.283979107618826,combinedF
null,7,diabimmune_6-12,26,16,27.75756734729612,combinedF
null,7,diabimmune_6-12,27,25,36.78665396048674,combinedF
null,7,diabimmune_6-12,28,36,27.894715627958593,combinedF
null,7,diabimmune_6-12,29,32,35.64854524756153,combinedF
null,7,diabimmune_6-12,30,19,44.781907547795534,combinedF
null,7,diabimmune_6-12,31,20,24.785633528298295,combinedF
null,7,diabimmune_6-12,32,15,35.13311218875071,combinedF
null,7,diabimmune_6-12,33,13,38.438644808934335,combinedF
null,7,diabimmune_6-12,34,25,64.99737200890507,combinedF
null,7,diabimmune_6-12,35,29,27.06527877224039,combinedF
null,7,diabimmune_6-12,36,20,28.67926908130775,combinedF
null,7,diabimmune_6-12,37,34,26.31653337253815,combinedF
null,7,diabimmune_6-12,38,29,42.820580510097564,combinedF
null,7,diabimmune_6-12,39,11,31.185909880171927,combinedF
null,7,diabimmune_6-12,40,23,38.50631070276558,combinedF
null,7,diabimmune_6-12,41,10,42.60189717111998,combinedF
null,7,diabimmune_6-12,42,23,22.592804926930803,combinedF
null,7,diabimmune_6-12,43,25,17.673214940894468,combinedF
null,7,diabimmune_6-12,44,18,37.153010727475916,combinedF
null,7,diabimmune_6-12,45,9,30.361328231532642,combinedF
null,7,diabimmune_6-12,46,37,56.81978358688207,combinedF
null,7,diabimmune_6-12,47,27,38.7978978507455,combinedF
null,7,diabimmune_6-12,48,5,21.69713760087065,combinedF
null,7,diabimmune_6-12,49,13,33.63105332700154,combinedF
null,7,diabimmune_6-12,50,28,44.73678724798733,combinedF
null,7,diabimmune_6-12,51,8,16.227029776542025,combinedF
null,7,diabimmune_6-12,52,23,46.87123358047354,combinedF
null,7,diabimmune_6-12,53,38,34.69915994787725,combinedF
null,7,diabimmune_6-12,54,23,59.995480311583194,combinedF
null,7,diabimmune_6-12,55,25,36.369549794117624,combinedF
null,7,diabimmune_6-12,56,30,30.066366253923103,combinedF
null,7,diabimmune_6-12,57,25,28.302858021020135,combinedF
null,7,diabimmune_6-12,58,38,32.26563857791618,combinedF
null,7,diabimmune_6-12,59,7,12.819888992327922,combinedF
null,7,diabimmune_6-12,60,21,38.500453205230926,combinedF
null,7,diabimmune_6-12,61,34,32.695356328804955,combinedF
null,7,diabimmune_6-12,62,28,35.15843976844998,combinedF
null,7,diabimmune_6-12,63,11,47.973124964787516,combinedF
null,7,diabimmune_6-12,64,23,35.713471156306014,combinedF
null,7,diabimmune_6-12,65,30,45.53813080516198,combinedF
null,7,diabimmune_6-12,66,19,38.391538760298886,combinedF
null,7,diabimmune_6-12,67,30,29.823431730361094,combinedF
null,7,diabimmune_6-12,68,35,35.50584266966242,combinedF
null,7,diabimmune_6-12,69,21,33.7516049515655,combinedF
null,7,diabimmune_6-12,70,7,24.120767805993964,combinedF
null,7,diabimmune_6-12,71,14,19.827926139304157,combinedF
null,7,diabimmune_6-12,72,16,18.4742540213083,combinedF
null,7,diabimmune_6-12,73,25,31.017640488033088,combinedF
null,7,diabimmune_6-12,74,38,36.49641598930977,combinedF
null,7,diabimmune_6-12,75,27,46.6248729998086,combinedF
null,7,diabimmune_6-12,76,31,43.26272582480571,combinedF
null,7,diabimmune_6-12,77,20,32.83881377163387,combinedF
null,7,diabimmune_6-12,78,30,53.57025989437718,combinedF
null,7,diabimmune_6-12,79,23,24.60299748830281,combinedF
null,7,diabimmune_6-12,80,38,27.463234103911404,combinedF
null,7,diabimmune_6-12,81,36,57.229487141776445,combinedF
null,7,diabimmune_6-12,82,27,36.12250598250828,combinedF
null,7,diabimmune_6-12,83,27,50.990870744861475,combinedF
null,7,diabimmune_6-12,84,13,23.150425081128336,combinedF
null,7,diabimmune_6-12,85,15,29.455408214027983,combinedF
null,7,diabimmune_6-12,86,20,29.837999847832037,combinedF
null,7,diabimmune_6-12,87,11,51.34651282080544,combinedF
null,7,diabimmune_6-12,88,15,42.8378969700492,combinedF
null,7,diabimmune_6-12,89,27,41.146219599225184,combinedF
null,7,diabimmune_6-12,90,35,23.447631912485537,combinedF
null,7,diabimmune_6-12,91,38,51.021201209317425,combinedF
null,7,diabimmune_6-12,92,6,20.181664416606026,combinedF
null,7,diabimmune_6-12,93,22,39.12799172329771,combinedF
null,7,diabimmune_6-12,94,25,17.472043439598195,combinedF
null,7,diabimmune_6-12,95,24,37.79240180993209,combinedF
null,7,diabimmune_6-12,96,10,30.262245759582974,combinedF
null,7,diabimmune_6-12,97,38,38.890174133241146,combinedF
null,7,diabimmune_6-12,98,11,37.4038484703679,combinedF
null,7,diabimmune_6-12,99,11,24.892491290343887,combinedF
null,7,diabimmune_6-12,100,11,18.77682173433172,combinedF
