Type,Seed,fname,rep,num_ratios,tstat,optMetric
empirical,8,birthDelivery_month5,1,31,5.381160562089001,scale
null,8,birthDelivery_month5,1,6,2.8419650532522023,scale
null,8,birthDelivery_month5,2,17,3.777482662390858,scale
null,8,birthDelivery_month5,3,12,4.260384310698674,scale
null,8,birthDelivery_month5,4,7,1.734849117068144,scale
null,8,birthDelivery_month5,5,17,3.261839397682678,scale
null,8,birthDelivery_month5,6,11,2.6534456186570523,scale
null,8,birthDelivery_month5,7,7,3.1884177077550895,scale
null,8,birthDelivery_month5,8,6,4.308200376366557,scale
null,8,birthDelivery_month5,9,8,3.3522069696134857,scale
null,8,birthDelivery_month5,10,9,3.0044351604840114,scale
null,8,birthDelivery_month5,11,17,2.881216650999332,scale
null,8,birthDelivery_month5,12,21,5.486546494611528,scale
null,8,birthDelivery_month5,13,8,1.854990256780564,scale
null,8,birthDelivery_month5,14,29,3.3487601786374963,scale
null,8,birthDelivery_month5,15,26,1.8726729254181422,scale
null,8,birthDelivery_month5,16,17,2.354610790157056,scale
null,8,birthDelivery_month5,17,11,2.1828444714965407,scale
null,8,birthDelivery_month5,18,16,2.2859751843932807,scale
null,8,birthDelivery_month5,19,6,4.7777847270082745,scale
null,8,birthDelivery_month5,20,15,3.376881792160692,scale
null,8,birthDelivery_month5,21,18,2.3565533834077046,scale
null,8,birthDelivery_month5,22,6,4.928861635553021,scale
null,8,birthDelivery_month5,23,18,2.047324129747917,scale
null,8,birthDelivery_month5,24,11,1.1597225514942238,scale
null,8,birthDelivery_month5,25,21,3.6127250850515833,scale
null,8,birthDelivery_month5,26,10,4.216463341447799,scale
null,8,birthDelivery_month5,27,19,3.6241076185843233,scale
null,8,birthDelivery_month5,28,9,2.5709797064125355,scale
null,8,birthDelivery_month5,29,22,3.5475973357008037,scale
null,8,birthDelivery_month5,30,14,5.440618481089161,scale
null,8,birthDelivery_month5,31,14,2.7530250358803507,scale
null,8,birthDelivery_month5,32,7,2.474803159336154,scale
null,8,birthDelivery_month5,33,12,3.046105104230683,scale
