numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,dimensions,methStat,reject,Distr
11175,1.6270000000000024,R,0.004483974358974385,1,150,Empirical,ANOSIM,0.2119205298013245,scenario1,Balanced,150,ANOSIM,0,different
11175,156.432,estat,613.7864874900464,1,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,150,Energy,1,different
11175,6.871999999999986,permDispF,1563.1641720274438,1,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,150,PERMDISP2,1,different
84,6044.063,testStat,1027.3249643469521,1,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,150,selEnergyPerm,1,different
31125,2.0310000000000024,R,5.216346153845942e-4,1,150,Empirical,ANOSIM,0.46357615894039733,scenario1,Balanced,250,ANOSIM,0,different
31125,372.681,estat,898.151984855379,1,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,250,Energy,1,different
31125,6.70099999999999,permDispF,2435.0056145888593,1,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,250,PERMDISP2,1,different
95,15270.2,testStat,1959.863325312218,1,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,250,selEnergyPerm,1,different
1225,1.2629999999999981,R,0.09378766025641032,1,150,Empirical,ANOSIM,0.006622516556291391,scenario1,Balanced,50,ANOSIM,1,different
1225,15.286999999999999,estat,324.34344703636907,1,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,50,Energy,1,different
1225,5.828000000000003,permDispF,427.8336983845832,1,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,50,PERMDISP2,1,different
26,1930.405,testStat,344.02488675846786,1,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,50,selEnergyPerm,1,different
11175,1.6709999999999994,R,-0.7854124149659863,1,150,Empirical,ANOSIM,1,scenario1,Unbalanced,150,ANOSIM,0,different
11175,138.316,estat,482.7417751195026,1,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,150,Energy,1,different
11175,6.439000000000004,permDispF,656.537258402561,1,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
71,5028.875,testStat,453.47363805706124,1,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
31125,1.230999999999998,R,-0.803687925170068,1,150,Empirical,ANOSIM,1,scenario1,Unbalanced,250,ANOSIM,0,different
31125,233.43599999999998,estat,698.9262603245597,1,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,250,Energy,1,different
31125,3.8370000000000246,permDispF,1290.2250407067643,1,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,250,PERMDISP2,1,different
126,8518.493999999999,testStat,1089.7525950789482,1,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,250,selEnergyPerm,1,different
1225,1.3530000000000015,R,-0.6390314625850341,1,150,Empirical,ANOSIM,1,scenario1,Unbalanced,50,ANOSIM,0,different
1225,14.251000000000001,estat,237.79151818278905,1,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,50,Energy,1,different
1225,5.498999999999999,permDispF,237.18923336847888,1,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,50,PERMDISP2,1,different
39,1796.1160000000002,testStat,136.90748962576453,1,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,50,selEnergyPerm,1,different
11175,0.8690000000000033,R,0.008411057692307789,10,150,Empirical,ANOSIM,0.052980132450331126,scenario1,Balanced,150,ANOSIM,0,different
11175,134.60800000000003,estat,631.0522597918731,10,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,150,Energy,1,different
11175,5.991999999999987,permDispF,1285.7373758226577,10,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,150,PERMDISP2,1,different
77,5072.113,testStat,980.454780181145,10,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,150,selEnergyPerm,1,different
31125,1.8859999999999992,R,0.0066939102564103304,10,150,Empirical,ANOSIM,0.11258278145695365,scenario1,Balanced,250,ANOSIM,0,different
31125,358.072,estat,929.6234731994173,10,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,250,Energy,1,different
31125,6.975000000000001,permDispF,1781.199866797354,10,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,250,PERMDISP2,1,different
119,9635.499,testStat,1849.6067335683722,10,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,250,selEnergyPerm,1,different
1225,1.3879999999999981,R,0.050468749999999944,10,150,Empirical,ANOSIM,0.006622516556291391,scenario1,Balanced,50,ANOSIM,1,different
1225,15.765000000000008,estat,346.7793385229588,10,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Balanced,50,Energy,1,different
1225,6.155000000000001,permDispF,834.3364473324697,10,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Balanced,50,PERMDISP2,1,different
35,1978.443,testStat,398.12913830468057,10,150,Empirical,selProPerm,0.006622516556291391,scenario1,Balanced,50,selEnergyPerm,1,different
11175,1.7070000000000007,R,-0.7889957482993197,10,150,Empirical,ANOSIM,1,scenario1,Unbalanced,150,ANOSIM,0,different
11175,135.58499999999998,estat,478.13964381384557,10,150,Empirical,Energy_Aitch_ALL,0.006622516556291391,scenario1,Unbalanced,150,Energy,1,different
11175,6.327000000000002,permDispF,756.63033505528006,10,150,Empirical,PermDisp2,0.006622516556291391,scenario1,Unbalanced,150,PERMDISP2,1,different
101,5459.901000000001,testStat,426.34166903404974,10,150,Empirical,selProPerm,0.006622516556291391,scenario1,Unbalanced,150,selEnergyPerm,1,different
