method,Dims,totalRatios,Scenario,seed,numRatios,compTime_sec,NumParts,CluseringCoefficient,LogLoss,TrainlogLoss,TrainAUC,crossValAUC,energyF,meansF,dispF,combinedF
Boruta,200,19900,1,168,259,148.02200000000002,142,0.025524673851389675,1.0014123200272882,0.5326267052881878,0.87859375,0.889375,5.305976285670281,3.448355341383155,910.8039510337885,914.2523063751717
LASSO,200,19900,1,168,3,17.625999999999973,5,0,0.885046088035752,0.5821933810031783,0.82953125,0.826875,9.300611352850582,15.414104650830556,16.279992443323327,31.694097094153882
RFE,200,19900,1,168,128,365.522,110,0.014218009478672985,0.9799567549313942,0.566683815351049,0.79453125,0.799375,5.075329004025194,3.5747239144691716,549.9042561524053,553.4789800668744
InformationGain,200,19900,1,168,4866,7.64600000000004,200,0.34624602158173035,0.8936763875736776,0.6325974035710579,0.705,0.703125,4.005426811877435,1.6926144316067961,1518.7987277161894,1520.4913421477963
selEnergyPerm,200,19900,1,168,104,71.53399999999999,109,0,0.9292239189486894,0.5720127075533594,0.815625,0.82,4.496639842110701,3.062912974987433,1251.420587267563,1254.4835002425505
Boruta,200,19900,2,168,153,140.308,140,0.004412691741962597,1.1748339338371505,0.38180301557601687,1,1,3.6844142179215056,6.455206123229134,3.540716316123943,9.995922439353077
LASSO,200,19900,2,168,19,14.326999999999884,21,0,1.2556112607771268,0.3464973565763403,1,1,16.3799437904693,35.413801423240926,0.8023616466366043,36.21616306987753
RFE,200,19900,2,168,8,311.50300000000004,9,0,1.1863786842155715,0.39480385740635915,1,1,13.225546892357173,23.07260109048773,11.334903579574073,34.407504670061805
InformationGain,200,19900,2,168,1675,6.94299999999987,200,0.05144782620606526,0.9374930211830066,0.5227468911640708,0.95421875,0.973125,1.6167578177839703,2.185095571567967,25.473563561373908,27.658659132941875
selEnergyPerm,200,19900,2,168,3,60.56399999999985,4,0,1.2159017025479417,0.37457723768828566,0.99796875,0.998125,54.56356958153176,156.88462051422104,0.08728588858270765,156.97190640280374
Boruta,200,20100,3,168,806,161.59300000000007,154,0,1.2705915169898776,0.337651861720852,1,1,16.213006453954645,37.303934775653815,4.934651563274768e-4,37.30442824081014
LASSO,200,20100,3,168,44,15.546000000000049,47,0,1.2895481488702762,0.32671665413220624,1,1,20.27928084968953,48.239480469157634,0.6253608164921489,48.86484128564978
RFE,200,20100,3,168,128,337.43499999999995,83,0,1.2635469937969455,0.3431249813378996,1,1,17.580655168641798,41.26996287491287,1.2397146760830102,42.50967755099588
InformationGain,200,20100,3,168,6275,7.348999999999933,201,0.012964025576661764,1.2560617100766789,0.34304305270092833,1,1,10.46116559717057,22.283579707172212,8.471637404857537e-4,22.284426870912696
selEnergyPerm,200,20100,3,168,5,59.138999999999896,6,0,1.157600243443751,0.41073782677160914,0.9871875,0.9875,28.514378231382803,72.62775145428401,7.29282001400847,79.92057146829248
Boruta,200,20100,4,168,83,144.76299999999992,81,0.0012701100762066045,1.0476256575285414,0.48769211848761823,0.9175,0.913125,11.180297527641835,25.441557193455782,0.1827388698342229,25.624296063290004
LASSO,200,20100,4,168,7,14.481999999999971,8,0,1.0439360446368908,0.48426685398754343,0.9303125,0.923125,16.281956086041227,38.74644065495926,0.011528732013047993,38.757969386972306
RFE,200,20100,4,168,32,384.12900000000036,33,0,1.0344787068961727,0.49603216318009324,0.9128125,0.905625,12.729662164551687,29.159914585042333,0.2718713322617927,29.431785917304126
InformationGain,200,20100,4,168,352,7.153000000000247,195,0.02118209771096686,1.0648403230524763,0.4702875800953458,0.94328125,0.941875,6.478318254722211,13.393411801487561,0.03660825439375702,13.430020055881318
selEnergyPerm,200,20100,4,168,3,58.9069999999997,4,0,0.9999413378016067,0.5117809199737295,0.905625,0.898125,20.523958502469178,49.0125357740416,0.04444927521300273,49.05698504925461
Boruta,200,20100,5,168,1253,185.07300000000032,201,0.06565827277336488,0.9358681030055559,0.6582294111178107,0.70109375,0.738125,11.282582728990684,2.2090364169444476,3940.4494465212933,3942.6584829382377
LASSO,200,20100,5,168,20100,6.305000000000291,201,1,0.7784160826366171,0.8898863980930474,0.41296875,0.5725,9.922224991230395,0.8375950048887237,3622.895941824899,3623.7335368297877
RFE,200,20100,5,168,4096,322.6790000000001,201,0.21328110059631086,0.8481886968663354,0.7692173970391928,0.57453125,0.6,10.376671427159913,1.219422955857214,3597.5267748711653,3598.7461978270226
InformationGain,200,20100,5,168,20100,8.451000000000022,201,1,0.7784160826366171,0.8898863980930474,0.41296875,0.5725,9.922224991230395,0.8375950048887237,3622.895941824899,3623.7335368297877
selEnergyPerm,200,20100,5,168,104,71.13700000000017,121,0,0.8546301867093671,0.6731034452473584,0.6259375,0.62125,10.855887262292747,1.9281968500076088,6114.1707397626815,6116.098936612689
