method,Dims,totalRatios,Scenario,seed,numRatios,compTime_sec,NumParts,CluseringCoefficient,LogLoss,TrainlogLoss,TrainAUC,crossValAUC,energyF,meansF,dispF,combinedF
Boruta,250,31125,1,33,31125,9.300999999999998,250,1,0.7190612522890925,0.7475894902871759,0.495625,0.505,1.9064972737352524,0.5466823352070371,1023.393244585709,1023.939926920916
LASSO,250,31125,1,33,31125,9.300999999999998,250,1,0.7190612522890925,0.7475894902871759,0.495625,0.505,1.9064972737352524,0.5466823352070371,1023.393244585709,1023.939926920916
RFE,250,31125,1,33,128,478.921,134,0.010948905109489052,1.0160516857655744,0.5109648450625097,0.8822916666666667,0.885,2.925304992783191,2.0469835912534293,340.0082190799587,342.0552026712121
InformationGain,250,31125,1,33,1949,10.69599999999998,245,0.13086700880263738,0.9716869566864343,0.5397287127866289,0.8802083333333334,0.880833333333333,3.151783871142815,1.3921186632003566,858.5585950931338,859.9507137563342
selEnergyPerm,250,31125,1,33,143,128.30499999999995,158,0,0.9278419823722134,0.5777043983886865,0.7583333333333333,0.769166666666667,2.204721810921737,1.2197536354329204,858.5749261311656,859.7946797665985
Boruta,250,31125,2,33,49,221.72100000000012,48,0.009554140127388535,1.2222478155498842,0.3687404145060641,1,1,5.702217176542068,10.947352313625744,0.8817804347142113,11.829132748339955
LASSO,250,31125,2,33,20,20.211999999999875,23,0,1.249664136343316,0.3517324712917095,1,1,11.081785442413814,23.614113467128025,2.683580697948152,26.297694165076177
RFE,250,31125,2,33,64,418.5079999999999,60,0.012162162162162163,1.2024795925991356,0.38173354582320845,0.9997916666666666,1,4.509096240776811,8.306107544357248,1.0470704352714613,9.35317797962871
InformationGain,250,31125,2,33,1565,9.976999999999975,250,0.028017452211852634,1.0240335023781773,0.4829214173634605,0.905625,0.913333333333333,1.38032722846491,1.754676114417712,0.00826460021236676,1.7629407146300788
selEnergyPerm,250,31125,2,33,3,113.11799999999994,4,0,1.207161198423531,0.37842667368311006,0.99625,0.995833333333333,37.68862832891669,112.04472839844911,1.4705568315033806,113.5152852299525
Boruta,250,31375,3,33,754,252.64800000000014,174,0,1.2768237659237474,0.33402911171175725,1,1,15.154596310964704,35.88012403082511,2.2739121588497526,38.15403618967486
LASSO,250,31375,3,33,46,21.639000000000124,53,0,1.2932729144205182,0.32474832037822915,1,1,18.457804591228232,45.200610909811395,2.2167384864967845,47.41734939630818
RFE,250,31375,3,33,8192,410.68100000000004,251,0.4367255472146322,1.2254978099373082,0.3547273862719101,1,1,4.279350351496293,7.880776936514916,4.233772897336072,12.114549833850988
InformationGain,250,31375,3,33,8350,10.70699999999988,251,0.01030663521690083,1.2678575663715625,0.3366163879502574,1,1,9.435262649287841,20.1371335708325,14.536332128092843,34.67346569892534
selEnergyPerm,250,31375,3,33,70,130.29800000000023,81,0,1.2697457224044209,0.3392283302520762,1,1,15.463626266666866,34.84066164822513,224.98056011543645,259.8212217636616
Boruta,250,31375,4,33,51,235.07200000000012,52,0,1.0620406405360137,0.48928972347720595,0.8727083333333333,0.871666666666667,10.040263390343693,23.79710822138203,0.08244020128962348,23.879548422671654
LASSO,250,31375,4,33,8,19.617999999999938,9,0,1.1128913050133404,0.4404943421176608,0.97625,0.979166666666667,13.059830361469745,29.45740349072073,3.447763646702715,32.90516713742345
RFE,250,31375,4,33,4,480.77,5,0,1.0530035372311184,0.47644180711164186,0.921875,0.916666666666667,13.83945479023238,32.791790217404774,0.059583348371993895,32.85137356577677
InformationGain,250,31375,4,33,292,10.690000000000055,208,0.004667444574095682,1.1042220775665343,0.44320654005346605,0.98,0.976666666666667,6.118207600148826,12.748458448495597,8.752237971026611,21.500696419522207
selEnergyPerm,250,31375,4,33,6,113.63799999999992,7,0,1.0622010228193666,0.4731838747644547,0.9122916666666666,0.908333333333333,14.259355841727345,32.115739976527834,0.02744315671666026,32.14318313324449
Boruta,250,31375,5,33,212,228.64100000000008,180,0.005917159763313609,0.8753159919644992,0.6511923049051053,0.7260416666666667,0.731666666666667,6.311178581513199,0.870594375374497,2280.797335233683,2281.6679296090574
LASSO,250,31375,5,33,31375,9.052999999999884,251,1,0.6411537414065744,0.9211030751100041,0.483125,0.5075,5.678772084612377,0.3339870670968614,2750.395180147835,2750.729167214932
RFE,250,31375,5,33,128,426.4449999999997,132,0,0.8937288488855674,0.6153485800372223,0.7325,0.745833333333333,6.401911605972989,1.10545179954553,1362.9697086318217,1364.0751604313673
InformationGain,250,31375,5,33,31084,12.259000000000015,251,0.9909572834688022,0.6426903355322918,0.9184478752884989,0.48583333333333334,0.505,5.6893840389725,0.3357984478529437,2759.90904104229,2760.244839490143
selEnergyPerm,250,31375,5,33,112,95.52400000000034,132,0,0.8676048232808661,0.6107119907956948,0.7195833333333334,0.721666666666667,6.148843444955206,0.8718274309087481,5647.062350644888,5647.934178075797
