numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,shiftParm,trueDistr
12090,1.688999999999993,R,0.02228926282051272,26,150,Empirical,ANOSIM,0.11920529801324503,WGS_meanShift,Balanced,3,different
12090,2.5209999999999937,permanovaF,1.6796904012259337,26,150,Empirical,PERMANOVA,0.033112582781456956,WGS_meanShift,Balanced,3,different
12090,163.589,estat,1260.127989925627,26,150,Empirical,Energy_Aitch_ALL,0.06622516556291391,WGS_meanShift,Balanced,3,different
12090,6.095000000000013,permDispF,0.05991457094428597,26,150,Empirical,PermDisp2,0.847682119205298,WGS_meanShift,Balanced,3,different
7,5825.03,raw_energyStat,55.044234279352445,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,mds_normEnergy,0.20583301571674611,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,scaleEStat_mds,31.717205829665485,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,PermanovaF,32.65244748699053,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,PermanovaF_mds,63.719532863443895,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,betaDispF,2.8742666686081204,26,150,Empirical,selProPerm,0.15894039735099338,WGS_meanShift,Balanced,3,different
7,5825.03,betaDispF_mds,0.23750488089624483,26,150,Empirical,selProPerm,0.7350993377483444,WGS_meanShift,Balanced,3,different
7,5825.03,AnosimR,0.5022948717948718,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,EnergyF,14.513614855482164,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,energyCor,0.7348219542009398,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,energyBiasedCorrecCor,0.5453599616772287,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,rous_cF,30.655584622693453,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,rous_krusStat,26.900092592592557,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,combinedF,41.60753519125887,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,ScaledF,30.353894924125154,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
7,5825.03,testStat,14.513614855482164,26,150,Empirical,selProPerm,0.006622516556291391,WGS_meanShift,Balanced,3,different
