numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,shiftParm,trueDistr
12090,1.698999999999998,R,-0.09108163265306118,71,150,Empirical,ANOSIM,0.9470198675496688,WGS_covShift,Unbalanced,4,same
12090,2.521000000000001,permanovaF,0.932125098091806,71,150,Empirical,PERMANOVA,0.6490066225165563,WGS_covShift,Unbalanced,4,same
12090,157.386,estat,989.2762060537723,71,150,Empirical,Energy_Aitch_ALL,0.6556291390728477,WGS_covShift,Unbalanced,4,same
12090,7.704000000000008,permDispF,4.383148530789269,71,150,Empirical,PermDisp2,0.059602649006622516,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,raw_energyStat,10.556100755925929,71,150,Empirical,selProPerm,0.15894039735099338,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,mds_normEnergy,0.07592908165570277,71,150,Empirical,selProPerm,0.1390728476821192,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,scaleEStat_mds,6.804335981196793,71,150,Empirical,selProPerm,0.16556291390728478,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,PermanovaF,6.112656070053545,71,150,Empirical,selProPerm,0.15894039735099338,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,PermanovaF_mds,7.82331835663627,71,150,Empirical,selProPerm,0.19205298013245034,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,betaDispF,2.136956651654545,71,150,Empirical,selProPerm,0.4370860927152318,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,betaDispF_mds,1.7034720393876444,71,150,Empirical,selProPerm,0.4900662251655629,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,AnosimR,0.0668996598639456,71,150,Empirical,selProPerm,0.8278145695364238,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,EnergyF,3.743063344674656,71,150,Empirical,selProPerm,0.18543046357615894,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,energyCor,0.3803612811792328,71,150,Empirical,selProPerm,0.17880794701986755,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,energyBiasedCorrecCor,0.11548159779132222,71,150,Empirical,selProPerm,0.17218543046357615,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,rous_cF,1.3758171454473715,71,150,Empirical,selProPerm,0.7284768211920529,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,rous_krusStat,2.704197530864178,71,150,Empirical,selProPerm,0.5033112582781457,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,combinedF,7.029657055105231,71,150,Empirical,selProPerm,0.26490066225165565,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,ScaledF,6.343449830184982,71,150,Empirical,selProPerm,0.17880794701986755,WGS_covShift,Unbalanced,4,same
4,5544.3240000000005,testStat,3.743063344674656,71,150,Empirical,selProPerm,0.18543046357615894,WGS_covShift,Unbalanced,4,same
