numRatios,compTime,Statistic,Value,Seed,permNumber,type,test,p,scenario,sampleDesign,dimensions
11325,0.9699999999999989,R,-0.029220238095238046,46,150,Empirical,ANOSIM,0.6821192052980133,scenario4,Unbalanced,150
11325,1.6819999999999986,permanovaF,1.0097177455837447,46,150,Empirical,PERMANOVA,0.46357615894039733,scenario4,Unbalanced,150
11325,98.494,estat,299.88364576701997,46,150,Empirical,Energy_Aitch_ALL,0.543046357615894,scenario4,Unbalanced,150
11325,4.134999999999998,permDispF,2.7162963616742566,46,150,Empirical,PermDisp2,0.3576158940397351,scenario4,Unbalanced,150
33,2876.056,raw_energyStat,28.58351137877442,46,150,Empirical,selProPerm,0.23178807947019867,scenario4,Unbalanced,150
33,2876.056,mds_normEnergy,0.09295841659916332,46,150,Empirical,selProPerm,0.7284768211920529,scenario4,Unbalanced,150
33,2876.056,scaleEStat_mds,9.028963113235855,46,150,Empirical,selProPerm,0.8079470198675497,scenario4,Unbalanced,150
33,2876.056,PermanovaF,5.464488976252453,46,150,Empirical,selProPerm,0.8013245033112583,scenario4,Unbalanced,150
33,2876.056,PermanovaF_mds,11.573269743968366,46,150,Empirical,selProPerm,0.7615894039735099,scenario4,Unbalanced,150
33,2876.056,betaDispF,2.570944463853238,46,150,Empirical,selProPerm,0.33112582781456956,scenario4,Unbalanced,150
33,2876.056,betaDispF_mds,2.8129864337911807,46,150,Empirical,selProPerm,0.32450331125827814,scenario4,Unbalanced,150
33,2876.056,AnosimR,0.32426445578231294,46,150,Empirical,selProPerm,0.3443708609271523,scenario4,Unbalanced,150
33,2876.056,EnergyF,3.2105861584141553,46,150,Empirical,selProPerm,0.8278145695364238,scenario4,Unbalanced,150
33,2876.056,energyCor,0.45415558673569406,46,150,Empirical,selProPerm,0.7086092715231788,scenario4,Unbalanced,150
33,2876.056,energyBiasedCorrecCor,0.17063111498488823,46,150,Empirical,selProPerm,0.7218543046357616,scenario4,Unbalanced,150
33,2876.056,rous_cF,10.655480795582617,46,150,Empirical,selProPerm,0.7417218543046358,scenario4,Unbalanced,150
33,2876.056,rous_krusStat,0.2964197530863828,46,150,Empirical,selProPerm,0.9801324503311258,scenario4,Unbalanced,150
33,2876.056,combinedF,10.22938084309768,46,150,Empirical,selProPerm,0.7682119205298014,scenario4,Unbalanced,150
33,2876.056,ScaledF,9.68091169155949,46,150,Empirical,selProPerm,0.7284768211920529,scenario4,Unbalanced,150
33,2876.056,testStat,3.2105861584141553,46,150,Empirical,selProPerm,0.8278145695364238,scenario4,Unbalanced,150
